Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Toughness_measure,Toughness_uncertainty_MPa_m0.5,Reference
C37.50-Co3.12-Cr3.12-Fe3.12-Mo25.00-Ni3.12-Ti12.50-W12.50,as-sintered,sintered (1440°C & 1h),"FCC+Ti(C,N)",0.92,,17.201477999999998,,,,,298.0,9.69,KIC,,"Gou, Q., Xiong, J., Guo, Z., Liu, J., Yang, L. & Li, X. Influence of NbC additions on microstructure and wear resistance of Ti(C,N)-based cermets bonded by CoCrFeNi high-entropy alloy. International Journal of Refractory Metals and Hard Materials 94, doi:10.1016/j.ijrmhm.2020.105375 (2021)."
C40.00-Co2.50-Cr2.50-Fe2.50-Mo20.00-Nb10.00-Ni2.50-Ti10.00-W10.00,as-sintered,sintered (1440°C & 1h),"FCC+Ti(C,N)",0.85,,18.172371,,,,,298.0,9.93,KIC,,"Gou, Q., Xiong, J., Guo, Z., Liu, J., Yang, L. & Li, X. Influence of NbC additions on microstructure and wear resistance of Ti(C,N)-based cermets bonded by CoCrFeNi high-entropy alloy. International Journal of Refractory Metals and Hard Materials 94, doi:10.1016/j.ijrmhm.2020.105375 (2021)."
C40.00-Co2.50-Cr2.50-Fe2.50-Mo20.00-Nb10.00-Ni2.50-Ti10.00-W10.00,as-sintered,sintered (1440°C & 1h),"FCC+Ti(C,N)",1.05,,17.583951,,,,,298.0,8.73,KIC,,"Gou, Q., Xiong, J., Guo, Z., Liu, J., Yang, L. & Li, X. Influence of NbC additions on microstructure and wear resistance of Ti(C,N)-based cermets bonded by CoCrFeNi high-entropy alloy. International Journal of Refractory Metals and Hard Materials 94, doi:10.1016/j.ijrmhm.2020.105375 (2021)."
C40.00-Co2.50-Cr2.50-Fe2.50-Mo20.00-Nb10.00-Ni2.50-Ti10.00-W10.00,as-sintered,sintered (1440°C & 1h),"FCC+Ti(C,N)",1.1,,17.691828,,,,,298.0,8.7,KIC,,"Gou, Q., Xiong, J., Guo, Z., Liu, J., Yang, L. & Li, X. Influence of NbC additions on microstructure and wear resistance of Ti(C,N)-based cermets bonded by CoCrFeNi high-entropy alloy. International Journal of Refractory Metals and Hard Materials 94, doi:10.1016/j.ijrmhm.2020.105375 (2021)."
Al5.26-Co21.05-Cr21.05-Fe21.05-Ni21.05-Ti10.53,borided,sintered (1200°C & 2h) + borided (900°C & 2h),boride (Ni2B+Co2B+Cr5B3+Fe2B+TiB2+CrB+AlB12),,6.5,14.328027,140.56,,,,298.0,4.25,KIC,,"Erdogan, A., Günen, A., Gök, M. S. & Zeytin, S. Microstructure and mechanical properties of borided CoCrFeNiAl0.25Ti0.5 high entropy alloy produced by powder metallurgy. Vacuum 183, doi:10.1016/j.vacuum.2020.109820 (2021)."
Al5.26-Co21.05-Cr21.05-Fe21.05-Ni21.05-Ti10.53,borided,sintered (1200°C & 2h) + borided (1000°C & 2h),boride (NiB+Co2B+Fe2B+TiB2+CrB+Cr5B3),,6.65,15.436218,140.77,,,,298.0,4.02,KIC,,"Erdogan, A., Günen, A., Gök, M. S. & Zeytin, S. Microstructure and mechanical properties of borided CoCrFeNiAl0.25Ti0.5 high entropy alloy produced by powder metallurgy. Vacuum 183, doi:10.1016/j.vacuum.2020.109820 (2021)."
Al5.26-Co21.05-Cr21.05-Fe21.05-Ni21.05-Ti10.53,borided,sintered (1200°C & 2h) + borided (1100°C & 2h),boride (NiB+Ni2B+CrB+Co2B+TiB2+AlB12+Fe2B+Fe3B),,6.72,16.142322,151.53,,,,298.0,3.57,KIC,,"Erdogan, A., Günen, A., Gök, M. S. & Zeytin, S. Microstructure and mechanical properties of borided CoCrFeNiAl0.25Ti0.5 high entropy alloy produced by powder metallurgy. Vacuum 183, doi:10.1016/j.vacuum.2020.109820 (2021)."
Nb25.00-Ta25.00-Ti25.00-V25.00,as-cast,arc-melted,BCC,,,,132.0,1200.0,,,134.0,43.0,KQ,,"Scales, R. J., Armstrong, D. E. J., Wilkinson, A. J. & Li, B. S. On the brittle-to-ductile transition of the as-cast TiVNbTa refractory high-entropy alloy. Materialia 14, doi:10.1016/j.mtla.2020.100940 (2020)."
Nb25.00-Ta25.00-Ti25.00-V25.00,as-cast,arc-melted,BCC,,,,132.0,1200.0,,,156.0,42.0,KQ,,"Scales, R. J., Armstrong, D. E. J., Wilkinson, A. J. & Li, B. S. On the brittle-to-ductile transition of the as-cast TiVNbTa refractory high-entropy alloy. Materialia 14, doi:10.1016/j.mtla.2020.100940 (2020)."
Nb25.00-Ta25.00-Ti25.00-V25.00,as-cast,arc-melted,BCC,,,,132.0,1200.0,,,203.0,63.0,KQ,,"Scales, R. J., Armstrong, D. E. J., Wilkinson, A. J. & Li, B. S. On the brittle-to-ductile transition of the as-cast TiVNbTa refractory high-entropy alloy. Materialia 14, doi:10.1016/j.mtla.2020.100940 (2020)."
Nb25.00-Ta25.00-Ti25.00-V25.00,as-cast,arc-melted,BCC,,,,132.0,1200.0,,,213.0,68.0,KQ,,"Scales, R. J., Armstrong, D. E. J., Wilkinson, A. J. & Li, B. S. On the brittle-to-ductile transition of the as-cast TiVNbTa refractory high-entropy alloy. Materialia 14, doi:10.1016/j.mtla.2020.100940 (2020)."
Nb25.00-Ta25.00-Ti25.00-V25.00,as-cast,arc-melted,BCC,,,,132.0,1200.0,,,226.0,83.0,KQ,,"Scales, R. J., Armstrong, D. E. J., Wilkinson, A. J. & Li, B. S. On the brittle-to-ductile transition of the as-cast TiVNbTa refractory high-entropy alloy. Materialia 14, doi:10.1016/j.mtla.2020.100940 (2020)."
